#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.697 0.0247 3.37e-09 2.88e-09 2139.75 442.19 64.82 -0.4 3562999 0.00e+00 2.87e-16 9.59e+00 4.06e-10 -6.10e-06 9.71e-03
0.713 0.0255 3.18e-09 2.72e-09 2082.65 439.99 63.87 -0.5 3525172 0.00e+00 3.04e-16 1.02e+01 4.59e-10 -6.89e-06 9.57e-03
0.728 0.0263 3.01e-09 2.57e-09 2027.12 437.80 62.93 -0.5 3487746 0.00e+00 3.22e-16 1.08e+01 5.19e-10 -7.79e-06 9.43e-03
0.744 0.0270 2.84e-09 2.43e-09 1973.02 435.63 62.01 -0.5 3450717 0.00e+00 3.41e-16 1.15e+01 5.88e-10 -8.81e-06 9.30e-03
0.760 0.0279 2.69e-09 2.30e-09 1920.41 433.46 61.11 -0.5 3414081 0.00e+00 3.61e-16 1.22e+01 6.65e-10 -9.98e-06 9.16e-03
0.776 0.0287 2.54e-09 2.17e-09 1869.14 431.31 60.22 -0.5 3377834 0.00e+00 3.82e-16 1.30e+01 7.53e-10 -1.13e-05 9.03e-03
0.793 0.0295 2.40e-09 2.05e-09 1819.19 429.19 59.34 -0.5 3341973 0.00e+00 4.05e-16 1.38e+01 8.53e-10 -1.28e-05 8.90e-03
0.810 0.0304 2.27e-09 1.94e-09 1770.61 427.07 58.49 -0.5 3306491 0.00e+00 4.29e-16 1.46e+01 9.67e-10 -1.45e-05 8.78e-03
0.827 0.0313 2.14e-09 1.83e-09 1723.28 424.97 57.64 -0.5 3271387 0.00e+00 4.54e-16 1.56e+01 1.10e-09 -1.64e-05 8.65e-03
0.845 0.0323 2.02e-09 1.73e-09 1677.25 422.87 56.82 -0.5 3236655 0.00e+00 4.81e-16 1.65e+01 1.24e-09 -1.86e-05 8.53e-03
0.863 0.0333 1.91e-09 1.64e-09 1632.31 420.82 56.00 -0.5 3202292 0.00e+00 5.10e-16 1.76e+01 1.41e-09 -2.11e-05 8.41e-03
0.882 0.0343 1.81e-09 1.55e-09 1588.70 418.75 55.20 -0.5 3168294 0.00e+00 5.41e-16 1.87e+01 1.60e-09 -2.40e-05 8.30e-03
0.901 0.0353 1.71e-09 1.46e-09 1547.18 416.44 54.42 -0.5 3134657 0.00e+00 5.73e-16 1.99e+01 1.81e-09 -2.71e-05 8.19e-03
0.921 0.0361 1.64e-09 1.40e-09 1521.15 410.21 53.67 -0.5 3101377 0.00e+00 5.98e-16 2.10e+01 1.97e-09 -2.96e-05 8.09e-03
0.940 0.0370 1.57e-09 1.35e-09 1495.38 404.14 52.94 -0.5 3068450 0.00e+00 6.25e-16 2.21e+01 2.15e-09 -3.23e-05 8.00e-03
0.961 0.0380 1.51e-09 1.29e-09 1470.02 398.15 52.23 -0.5 3035873 0.00e+00 5.92e-16 2.12e+01 2.03e-09 -3.04e-05 7.53e-03
0.981 0.0389 1.45e-09 1.24e-09 1444.98 392.29 51.53 -0.5 3003642 0.00e+00 4.77e-16 1.72e+01 1.50e-09 -2.25e-05 6.54e-03
1.003 0.0398 1.39e-09 1.19e-09 1422.79 385.85 50.84 -0.5 2971753 0.00e+00 3.97e-16 1.45e+01 1.16e-09 -1.74e-05 5.78e-03
1.024 0.0408 1.34e-09 1.15e-09 1404.07 378.67 50.18 -0.5 2940202 0.00e+00 3.37e-16 1.25e+01 9.23e-10 -1.38e-05 5.17e-03
1.046 0.0417 1.29e-09 1.11e-09 1385.38 371.69 49.53 -0.5 2908986 0.00e+00 2.97e-16 1.11e+01 7.77e-10 -1.17e-05 4.72e-03
1.069 0.0427 1.25e-09 1.07e-09 1366.89 364.84 48.90 -0.5 2878102 0.00e+00 2.69e-16 1.02e+01 6.80e-10 -1.02e-05 4.36e-03
1.092 0.0436 1.20e-09 1.03e-09 1348.58 358.14 48.28 -0.5 2847546 0.00e+00 2.48e-16 9.53e+00 6.12e-10 -9.19e-06 4.06e-03
1.116 0.0446 1.16e-09 9.94e-10 1330.52 351.56 47.67 -0.5 2817314 0.00e+00 2.32e-16 9.04e+00 5.64e-10 -8.46e-06 3.82e-03
1.140 0.0457 1.12e-09 9.58e-10 1312.45 345.17 47.08 -0.4 2787403 0.00e+00 2.21e-16 8.68e+00 5.29e-10 -7.94e-06 3.61e-03
1.164 0.0467 1.08e-09 9.23e-10 1294.51 338.93 46.49 -0.4 2757810 0.00e+00 2.11e-16 8.42e+00 5.04e-10 -7.56e-06 3.43e-03
1.189 0.0478 1.04e-09 8.90e-10 1276.99 332.75 45.93 -0.4 2728531 0.00e+00 2.04e-16 8.23e+00 4.85e-10 -7.28e-06 3.27e-03
1.215 0.0489 1.00e-09 8.58e-10 1259.58 326.72 45.37 -0.4 2699562 0.00e+00 1.99e-16 8.10e+00 4.72e-10 -7.08e-06 3.13e-03
