#1:r  2:H   3:Rho0    4:RhoMean 5:S   6:Tc  7:Te  8:Vr  9:Vphi   10:tauR	11:x	12:s_e	13:B_r	14:B_phi	15:B_z
0.188	0.0064	2.71e-07	2.31e-07	44519.93	1522.51	353.68	-0.8	6868540	0.00e+00	9.22e-11	1.33e+06 9.13e-02	8.73e+01	8.26e+01
0.192	0.0066	2.53e-07	2.17e-07	43072.50	1520.32	346.75	-0.8	6790018	0.00e+00	9.23e-11	1.34e+06 9.24e-02	8.50e+01	7.99e+01
0.197	0.0069	2.37e-07	2.03e-07	41669.59	1518.22	339.94	-0.8	6712393	0.00e+00	9.26e-11	1.34e+06 9.37e-02	8.27e+01	7.73e+01
0.201	0.0071	2.21e-07	1.89e-07	40314.99	1516.12	333.30	-0.8	6635656	0.00e+00	9.29e-11	1.35e+06 9.50e-02	8.05e+01	7.48e+01
0.206	0.0073	2.07e-07	1.77e-07	39002.06	1513.93	326.77	-0.8	6559797	0.00e+00	9.30e-11	1.35e+06 9.62e-02	7.84e+01	7.23e+01
0.211	0.0076	1.94e-07	1.66e-07	37734.33	1511.73	320.42	-0.8	6484804	0.00e+00	9.32e-11	1.35e+06 9.74e-02	7.63e+01	7.00e+01
0.215	0.0079	1.81e-07	1.55e-07	36507.89	1509.54	314.21	-0.9	6410669	0.00e+00	9.33e-11	1.36e+06 9.85e-02	7.43e+01	6.77e+01
0.220	0.0081	1.69e-07	1.45e-07	35321.38	1507.35	308.12	-0.9	6337381	0.00e+00	9.34e-11	1.36e+06 9.97e-02	7.23e+01	6.55e+01
0.226	0.0084	1.59e-07	1.36e-07	34175.67	1505.06	302.21	-0.9	6264931	0.00e+00	9.34e-11	1.36e+06 1.01e-01	7.04e+01	6.34e+01
0.231	0.0087	1.48e-07	1.27e-07	33067.20	1502.86	296.40	-0.9	6193310	0.00e+00	9.34e-11	1.36e+06 1.02e-01	6.85e+01	6.13e+01
0.236	0.0090	1.39e-07	1.19e-07	31992.73	1500.58	290.71	-0.9	6122507	0.00e+00	9.34e-11	1.36e+06 1.03e-01	6.67e+01	5.93e+01
0.242	0.0093	1.30e-07	1.11e-07	30955.20	1498.29	285.16	-0.9	6052514	0.00e+00	9.33e-11	1.36e+06 1.04e-01	6.49e+01	5.74e+01
0.247	0.0096	1.21e-07	1.04e-07	29953.30	1495.90	279.75	-0.9	5983320	0.00e+00	9.31e-11	1.36e+06 1.05e-01	6.32e+01	5.56e+01
0.253	0.0099	1.14e-07	9.72e-08	28982.05	1493.61	274.44	-0.9	5914918	0.00e+00	9.30e-11	1.36e+06 1.06e-01	6.15e+01	5.38e+01
0.259	0.0103	1.06e-07	9.09e-08	28044.16	1491.23	269.26	-0.9	5847298	0.00e+00	9.28e-11	1.36e+06 1.06e-01	5.98e+01	5.20e+01
0.265	0.0106	9.94e-08	8.50e-08	27134.94	1488.94	264.17	-0.9	5780451	0.00e+00	9.27e-11	1.36e+06 1.07e-01	5.82e+01	5.03e+01
0.271	0.0110	9.30e-08	7.96e-08	26258.64	1486.56	259.24	-0.9	5714368	0.00e+00	9.25e-11	1.36e+06 1.08e-01	5.66e+01	4.87e+01
0.277	0.0114	8.70e-08	7.44e-08	25409.07	1484.08	254.39	-0.9	5649041	0.00e+00	9.21e-11	1.35e+06 1.08e-01	5.51e+01	4.71e+01
0.284	0.0118	8.14e-08	6.97e-08	24587.05	1481.69	249.63	-1.0	5584460	0.00e+00	9.18e-11	1.35e+06 1.09e-01	5.36e+01	4.56e+01
0.291	0.0122	7.62e-08	6.52e-08	23793.22	1479.21	245.00	-1.0	5520618	0.00e+00	9.14e-11	1.35e+06 1.10e-01	5.22e+01	4.41e+01
0.297	0.0126	7.13e-08	6.10e-08	23023.60	1476.83	240.44	-1.0	5457505	0.00e+00	9.11e-11	1.34e+06 1.10e-01	5.08e+01	4.27e+01
0.304	0.0130	6.67e-08	5.71e-08	22278.94	1474.45	235.96	-1.0	5395114	0.00e+00	9.08e-11	1.34e+06 1.11e-01	4.94e+01	4.13e+01
0.311	0.0135	6.24e-08	5.34e-08	21559.81	1471.97	231.61	-1.0	5333436	0.00e+00	9.04e-11	1.34e+06 1.11e-01	4.81e+01	4.00e+01
0.319	0.0139	5.84e-08	4.99e-08	20863.95	1469.49	227.34	-1.0	5272464	0.00e+00	8.99e-11	1.33e+06 1.11e-01	4.68e+01	3.87e+01
0.326	0.0144	5.46e-08	4.67e-08	20189.29	1467.10	223.13	-1.0	5212188	0.00e+00	8.96e-11	1.33e+06 1.12e-01	4.55e+01	3.75e+01
0.333	0.0149	5.11e-08	4.37e-08	19536.51	1464.72	219.01	-1.0	5152602	0.00e+00	8.93e-11	1.32e+06 1.12e-01	4.43e+01	3.62e+01
0.341	0.0154	4.78e-08	4.09e-08	18904.88	1462.33	214.97	-1.0	5093696	0.00e+00	8.89e-11	1.32e+06 1.12e-01	4.31e+01	3.51e+01
0.349	0.0159	4.47e-08	3.83e-08	18294.91	1459.85	211.04	-1.0	5035465	0.00e+00	8.84e-11	1.31e+06 1.13e-01	4.19e+01	3.39e+01
0.357	0.0165	4.19e-08	3.58e-08	17703.52	1457.47	207.16	-1.1	4977898	0.00e+00	8.81e-11	1.31e+06 1.13e-01	4.08e+01	3.28e+01
0.366	0.0170	3.92e-08	3.35e-08	17131.29	1455.09	203.36	-1.1	4920990	0.00e+00	8.77e-11	1.31e+06 1.13e-01	3.97e+01	3.18e+01
0.374	0.0176	3.66e-08	3.14e-08	16577.60	1452.70	199.64	-1.1	4864733	0.00e+00	8.73e-11	1.30e+06 1.13e-01	3.86e+01	3.08e+01
0.383	0.0182	3.43e-08	2.93e-08	16041.85	1450.32	196.00	-1.1	4809119	0.00e+00	8.69e-11	1.30e+06 1.13e-01	3.75e+01	2.98e+01
0.392	0.0189	3.21e-08	2.74e-08	15523.46	1447.93	192.42	-1.1	4754140	0.00e+00	8.65e-11	1.29e+06 1.13e-01	3.65e+01	2.88e+01
0.401	0.0195	3.00e-08	2.57e-08	15020.87	1445.55	188.90	-1.1	4699790	0.00e+00	8.61e-11	1.29e+06 1.13e-01	3.55e+01	2.79e+01
0.410	0.0201	2.82e-08	2.41e-08	14563.45	1440.59	186.18	-1.1	4646061	0.00e+00	8.21e-11	1.23e+06 1.08e-01	3.46e+01	2.70e+01
0.420	0.0208	2.64e-08	2.26e-08	14120.14	1435.35	183.56	-1.1	4592947	0.00e+00	7.79e-11	1.17e+06 1.03e-01	3.36e+01	2.62e+01
0.429	0.0215	2.48e-08	2.12e-08	13690.51	1430.20	180.98	-1.1	4540440	0.00e+00	7.39e-11	1.11e+06 9.79e-02	3.27e+01	2.54e+01
0.439	0.0222	2.33e-08	1.99e-08	13273.23	1425.14	178.43	-1.1	4488533	0.00e+00	7.03e-11	1.06e+06 9.32e-02	3.18e+01	2.46e+01
0.450	0.0230	2.18e-08	1.87e-08	12867.10	1420.28	175.90	-1.2	4437219	0.00e+00	6.70e-11	1.01e+06 8.90e-02	3.09e+01	2.39e+01
0.460	0.0237	2.05e-08	1.75e-08	12473.54	1415.32	173.42	-1.2	4386492	0.00e+00	6.37e-11	9.67e+05 8.47e-02	3.00e+01	2.31e+01
