#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
34.480 1.7958 3.06e-13 2.62e-13 14.13 19.27 19.51 -13.7 506748 0.00e+00 1.17e-08 2.70e+09 5.36e-03 -4.06e-02 2.20e-01
36.107 1.9028 2.76e-13 2.36e-13 13.48 18.84 19.28 -13.8 495199 0.00e+00 1.23e-08 2.87e+09 5.12e-03 -3.84e-02 2.08e-01
37.810 2.0166 2.49e-13 2.13e-13 12.86 18.43 19.05 -13.8 483914 0.00e+00 1.29e-08 3.05e+09 4.89e-03 -3.63e-02 1.96e-01
39.595 2.1377 2.24e-13 1.91e-13 12.27 18.03 18.82 -13.8 472885 0.00e+00 1.36e-08 3.24e+09 4.67e-03 -3.43e-02 1.85e-01
41.463 2.2666 2.01e-13 1.72e-13 11.69 17.65 18.59 -13.8 462108 0.00e+00 1.43e-08 3.44e+09 4.46e-03 -3.25e-02 1.75e-01
43.420 2.4039 1.81e-13 1.54e-13 11.14 17.29 18.37 -13.8 451577 0.00e+00 1.50e-08 3.66e+09 4.25e-03 -3.07e-02 1.65e-01
45.468 2.5499 1.62e-13 1.39e-13 10.61 16.94 18.14 -13.9 441285 0.00e+00 1.58e-08 3.89e+09 4.06e-03 -2.91e-02 1.56e-01
47.614 2.7055 1.45e-13 1.24e-13 10.10 16.61 17.92 -13.9 431228 0.00e+00 1.66e-08 4.14e+09 3.88e-03 -2.75e-02 1.47e-01
49.861 2.8710 1.30e-13 1.12e-13 9.61 16.29 17.70 -14.0 421401 0.00e+00 1.75e-08 4.40e+09 3.70e-03 -2.60e-02 1.39e-01
52.213 3.0473 1.17e-13 1.00e-13 9.14 15.98 17.48 -14.0 411797 0.00e+00 1.84e-08 4.68e+09 3.53e-03 -2.46e-02 1.31e-01
54.677 3.2349 1.05e-13 8.96e-14 8.69 15.68 17.26 -14.1 402412 0.00e+00 1.94e-08 4.98e+09 3.37e-03 -2.32e-02 1.23e-01
57.257 3.4346 9.37e-14 8.02e-14 8.26 15.39 17.04 -14.1 393241 0.00e+00 2.05e-08 5.30e+09 3.22e-03 -2.19e-02 1.16e-01
59.959 3.6473 8.39e-14 7.18e-14 7.85 15.12 16.82 -14.2 384279 0.00e+00 2.16e-08 5.63e+09 3.07e-03 -2.07e-02 1.09e-01
62.788 3.8738 7.50e-14 6.42e-14 7.46 14.85 16.60 -14.3 375521 0.00e+00 2.27e-08 5.99e+09 2.93e-03 -1.96e-02 1.03e-01
65.751 4.1147 6.71e-14 5.74e-14 7.09 14.59 16.39 -14.4 366963 0.00e+00 2.40e-08 6.38e+09 2.80e-03 -1.85e-02 9.71e-02
