# 1:lamst 2:lamfst 3:disk_data_1[0] 4:disk_data_1[1] 5:disk_data_1[0] 6:disk_data_1[1] 7:disk_data_3[0] 8:disk_data_3[1] 
4.824108704165373871e-05 1.126676479133532357e-09 2.976381840061372193e-03 7.443831307109861058e-14 1.023411402105452780e-03 4.148299364738590531e-11 3.359006773855525551e-03 2.089257453315394651e-11
5.111433483440165230e-05 1.360383282646762420e-09 3.056691511344853014e-03 9.161010665452487948e-14 1.059560179277615945e-03 5.222889746467262530e-11 3.446481477077559252e-03 2.042164422376622521e-11
5.415871378079476335e-05 1.604478302982395461e-09 3.139168123447169494e-03 1.119183142591751308e-13 1.096985797892384082e-03 6.506777643157406275e-11 3.536234182167091820e-03 1.997670247617220753e-11
5.738441648302392912e-05 1.851013587151080232e-09 3.223870145447285066e-03 1.357550419733236430e-13 1.135733358343105071e-03 8.024270761492706679e-11 3.628324212474956078e-03 1.955888120277081458e-11
6.080224261649426910e-05 2.091471976058654518e-09 3.310857624055258373e-03 1.635278596260805039e-13 1.175849554052155795e-03 9.799288833139516751e-11 3.722812436240955074e-03 1.916954438611029864e-11
6.442363508721369713e-05 2.317380282351778418e-09 3.400192226180371105e-03 1.956547154655219612e-13 1.217382727739662078e-03 1.185475824963473811e-10 3.819761306825598859e-03 1.881031373103789520e-11
6.826071834272392776e-05 2.520900795482014041e-09 3.491937282647844445e-03 2.325580642863217390e-13 1.260382929679727511e-03 1.421198980945607822e-10 3.919234903989576510e-03 1.848309542718678731e-11
7.232633896483533814e-05 2.695338949074534611e-09 3.586157833095160972e-03 2.746582999613813495e-13 1.304901978014401690e-03 1.689006330888440348e-10 4.021298976248179058e-03 1.819010754820739271e-11
7.663410868007462242e-05 2.835521625779330537e-09 3.682920672079763053e-03 3.223666121143694304e-13 1.350993521198026563e-03 1.990524311788215733e-10 4.126020984328741120e-03 1.793390738366656592e-11
8.119844993184009404e-05 2.938021457192673951e-09 3.782294396430857172e-03 3.760774124035303334e-13 1.398713102647238578e-03 2.327044795424443814e-10 4.233470145759805729e-03 1.771741775551505080e-11
8.603464416684509228e-05 3.001223638635415637e-09 3.884349453878883311e-03 4.361604973801532684e-13 1.448118227674533064e-03 2.699479587854990393e-10 4.343717480621419810e-03 1.754395112391570559e-11
9.115888299750818402e-05 3.025249943418937042e-09 3.989158192997097063e-03 5.029531311303066854e-13 1.499268432786045498e-03 3.108324224046185147e-10 4.456835858486906700e-03 1.741723005017751922e-11
9.658832241158708354e-05 3.011767673662675923e-09 4.096794914490733096e-03 5.767522411347321014e-13 1.552225357427047987e-03 3.553632414455815210e-10 4.572900046587061000e-03 1.734140237299713175e-11
1.023411402105453783e-04 2.963718401583037251e-09 4.207335923870032107e-03 6.578069244917856066e-13 1.607052818261638441e-03 4.035002024911464014e-10 4.691986759228628304e-03 1.732104928521856962e-11
1.084365968689610923e-04 2.885002845354966385e-09 4.320859585544507657e-03 7.463114586411353085e-13 1.663816886076127438e-03 4.551572909875117717e-10 4.814174708499757184e-03 1.736118438956261308e-11
1.148951000187309720e-04 2.780155188976250999e-09 4.437446378376842283e-03 8.423990011005064046e-13 1.722585965398787389e-03 5.102036787873476495e-10 4.939544656295863714e-03 1.746724178036605030e-11
1.217382727739662078e-04 2.654034093354853906e-09 4.557178952735709172e-03 9.461361468720323104e-13 1.783430876931909378e-03 5.684657831474181170e-10 5.068179467700394819e-03 1.764505125949907370e-11
1.289890261253309376e-04 2.511550091956649277e-09 4.680142189088023000e-03 1.057518490739021434e-12 1.846424942895542615e-03 6.297303811065577553e-10 5.200164165755714885e-03 1.790079896016666206e-11
1.366716356462007343e-04 2.357441336090884893e-09 4.806423258172176118e-03 1.176467315530095868e-12 1.911644075385701691e-03 6.937485841878659184e-10 5.335585987660293288e-03 1.824097192946583289e-11
1.448118227674534582e-04 2.196102712257580796e-09 4.936111682794851879e-03 1.302827497621579861e-12 1.979166867853557332e-03 7.602405264472121574e-10 5.474534442429412201e-03 1.867228561079794108e-11
1.534368408930013208e-04 2.031467766486398570e-09 5.069299401295254172e-03 1.436366688644090119e-12 2.049074689815846059e-03 8.289005785669843457e-10 5.617101370057439765e-03 1.920159366534828422e-11
1.625755666443795110e-04 1.866938859813831893e-09 5.206080832721798717e-03 1.576775798777861517e-12 2.121451784910629874e-03 8.994028927340761156e-10 5.763381002220803115e-03 1.983578016566343211e-11
1.722585965398787497e-04 1.705358502151969228e-09 5.346552943767373355e-03 1.723670773386563726e-12 2.196385372416547171e-03 9.714070807024172487e-10 5.913470024561803644e-03 2.058163486475103774e-11
1.825183494319044218e-04 1.549013656829932850e-09 5.490815317510661445e-03 1.876595622222070422e-12 2.273965752357927448e-03 1.044563832375872265e-09 6.067467640594353603e-03 2.144571296561877545e-11
1.933891750455232165e-04 1.399664680311764028e-09 5.638970224012344358e-03 2.035026630100384483e-12 2.354286414322415491e-03 1.118520293494974604e-09 6.225475637273996873e-03 2.243418155800480664e-11
2.049074689815848173e-04 1.258591150264476161e-09 5.791122692816026880e-03 2.198377069173224752e-12 2.437444150122221927e-03 1.192925037584372841e-09 6.387598452275490904e-03 2.355265561671878735e-11
2.171117945694505205e-04 1.126647857602037952e-09 5.947380587405503086e-03 2.366005830235167073e-12 2.523539170434765683e-03 1.267432488319680983e-09 6.553943243022362225e-03 2.480602713312021501e-11
2.300430119772919131e-04 1.004325463388099762e-09 6.107854681671063581e-03 2.537220865060679415e-12 2.612675225563326330e-03 1.341706673163651685e-09 6.724619957514183649e-03 2.619829154162429701e-11
2.437444150122221819e-04 8.918115780302980367e-10 6.272658738438912848e-03 2.711289390543245438e-12 2.704959730463134260e-03 1.415424216934391556e-09 6.899741406998292741e-03 2.773237607292320795e-11
2.582618760682677613e-04 7.890491932146182375e-10 6.441909590119655402e-03 2.887445511977263065e-12 2.800503894183630979e-03 1.488276514465438705e-09 7.079423340534016403e-03 2.940997498548935556e-11
2.736439997074672083e-04 6.957904197136656849e-10 6.615727221532755747e-03 3.064898801538240607e-12 2.899422853882875021e-03 1.559971054299531242e-09 7.263784521498685073e-03 3.123139677384043590e-11
2.899422853882878274e-04 6.116443268392070400e-10 6.794234854965808777e-03 3.242843043074867426e-12 3.001835813575588850e-03 1.630231899944956559e-09 7.452946806086036685e-03 3.319542841076378136e-11
3.072112998861758928e-04 5.361183383700595803e-10 6.977559037528963809e-03 3.420464980331969668e-12 3.107866187782013824e-03 1.698799370927595843e-09 7.647035223848779734e-03 3.529922144484193913e-11
3.255088599835059718e-04 4.686531284557618621e-10 7.165829730866313946e-03 3.596952914433929290e-12 3.217641750250735486e-03 1.765429001694526494e-09 7.846178060338748414e-03 3.753820434717506776e-11
3.448962260405759859e-04 4.086513016582425954e-10 7.359180403287901226e-03 3.771505008492153523e-12 3.331294787934673506e-03 1.829889891000625810e-09 8.050506941899047281e-03 3.986555921283727035e-11
3.654383070957257953e-04 3.555003600477681953e-10 7.557748124387724496e-03 3.943337171929982591e-12 3.448962260405759751e-03 1.891962586019539382e-09 8.260156922664413023e-03 4.235483069415452259e-11
3.872038781812557140e-04 3.085905832515773137e-10 7.761673662214695589e-03 4.111690413886213805e-12 3.570785964900462846e-03 1.951436672081790974e-09 8.475266573827197961e-03 4.495496968383568244e-11
4.102658105827194793e-04 2.673284985099433492e-10 7.971101583065489521e-03 4.275837573204566411e-12 3.696912707195024444e-03 2.008108258571513790e-09 8.695978075228013096e-03 4.765425125553348443e-11
4.347013158125026251e-04 2.311466177406797541e-10 8.186180353970106197e-03 4.435089351401686089e-12 3.827494478516311072e-03 2.061777562140763459e-09 8.922437309331530952e-03 5.047593273357707468e-11
